SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
MOINFRA,1179.1,214,-81.85
MOLOWVOL,28093.8,1744,-93.79
MOM30IETF,583544.4,240247,-58.83
MOMGF,139.8,20,-85.69
MON50EQUAL,1287.9,504,-60.87
MONARCH,152704.4,410935,169.1
MONEXT50,821.3,316,-61.52
MONIFTY500,318862.8,95103,-70.17
MOQUALITY,1075.3,2134,98.46
MOTHERSON,6041670.2,10381571,71.83
MOTILALOFS,326007.5,1149873,252.71
MOTOUR,3235.4,1505,-53.48
MPHASIS,166109.9,301719,81.64
MPSLTD,24672.1,9288,-62.35
MRPL,1724604.5,3901835,126.25
MSTCLTD,51416.7,88163,71.47
MTNL,1292777.8,609097,-52.88
MUKANDLTD,65914.9,521931,691.83
MUKTAARTS,4900.7,16212,230.81
MULTICAP,95315.8,252258,164.65
MUNJALSHOW,60011.3,25557,-57.41
MUTHOOTCAP,22742.9,9975,-56.14
MUTHOOTMF,174575.0,278477,59.52
MVGJL,87525.3,42358,-51.6
NAM-INDIA,666219.8,296727,-55.46
NARMADA,259943.2,78670,-69.74
NATCAPSUQ,2470.1,512,-79.27
NATCOPHARM,535862.9,1080926,101.72
NAUKRI,1147467.0,414980,-63.84
NAVKARCORP,659612.2,316827,-51.97
NBIFIN,985.1,348,-64.67
NCLIND,144965.6,32101,-77.86
NDL,3333924.1,1319484,-60.42
NDRAUTO,28272.9,12677,-55.16
NELCO,45219.9,22078,-51.18
NESTLEIND,271895.6,1073901,294.97
NETWORK18,4692485.0,1210602,-74.2
NEULANDLAB,41791.0,12633,-69.77
NEXT30ADD,28291.4,618,-97.82
NFL,329066.7,1966540,497.61
NGIL,7312.6,35842,390.14
NGLFINE,2548.75,592,-76.77
NIF100IETF,235259.7,40953,-82.59
NIF10GETF,1139.6,86,-92.45
NIF5GETF,1428.33,32250,2157.88
NIFITETF,2283.1,7967,248.96
NIFTY1,92041.1,23413,-74.56
NIFTYQLITY,39095.8,132323,238.46
NIITMTS,116427.1,32241,-72.31
NILAINFRA,1374665.6,552071,-59.84
NILASPACES,1014436.2,215209,-78.79
NINSYS,1840.9,20528,1015.11
NITCO,89191.6,219108,145.66
NMDC,15283418.4,7487214,-51.01
NOVAAGRI,289805.4,137623,-52.51
NRBBEARING,98293.2,157707,60.45
NURECA,21538.62,7389,-65.69
NUVOCO,648905.5,318661,-50.89
NV20,8748.5,4045,-53.76
NV20BEES,103805.9,14857,-85.69
NYKAA,2673825.1,988781,-63.02
OFSS,35418.1,139299,293.3
OIL,852654.0,1359701,59.47
OILIETF,1040071.8,2319457,123.01
OLECTRA,281717.6,2030360,620.71
ONESOURCE,98483.6,165851,68.4
ORICONENT,111555.1,173010,55.09
ORIENTCEM,454546.73,1712128,276.67
ORIENTHOT,441012.64,121678,-72.41
ORISSAMINE,12240.55,2799,-77.13
ORTINGLOBE,4383.33,23896,445.16
OSWALAGRO,96796.0,37569,-61.19
OSWALPUMPS,675762.82,193179,-71.41
OSWALSEEDS,40172.36,69288,72.48
PAISALO,5154326.82,16893733,227.76
PAKKA,95487.18,39478,-58.66
PALASHSECU,1825.82,874,-52.13
PANAMAPET,14825.27,5928,-60.01
PARACABLES,491404.18,1204146,145.04
PASHUPATI,3067.0,21470,600.03
PASUPTAC,24003.73,40569,69.01
PATANJALI,529533.82,152841,-71.14
PATINTLOG,85174.82,32428,-61.93
PAYTM,1858160.55,3545043,90.78
PDMJEPAPER,47608.73,94071,97.59
PEARLPOLY,16752.45,170013,914.85
PENIND,329683.91,769516,133.41
PENINLAND,603175.45,143444,-76.22
PERSISTENT,248825.09,1408275,465.97
PFC,3556234.27,1078206,-69.68
PFOCUS,671588.45,263061,-60.83
PHOENIXLTD,589537.09,264001,-55.22
PICCADIL,50722.73,165666,226.61
PIDILITIND,157087.91,65816,-58.1
PILANIINVS,1739.73,3914,124.98
PNBGILTS,445915.64,2997786,572.28
PNCINFRA,306366.36,130271,-57.48
PNGJL,133293.82,64563,-51.56
POCL,113334.73,870501,668.08
PODDARMENT,2809.64,4270,51.98
POLYMED,77976.82,24481,-68.6
PONNIERODE,8974.64,37044,312.76
PRAENG,63823.0,20698,-67.57
PRAJIND,262665.82,124288,-52.68
PRAKASH,834340.36,309322,-62.93
PREMEXPLN,92583.91,164661,77.85
PREMIERPOL,41032.0,64382,56.91
PRIMO,159285.82,552431,246.82
PRITI,11659.0,4533,-61.12
PROSTARM,1306946.0,529083,-59.52
PROZONER,376218.36,746086,98.31
PRUDENT,20188.18,9574,-52.58
PRUDMOULI,23809.0,10117,-57.51
PSUBANK,52994.18,6860,-87.06
PSUBANKADD,388799.27,101271,-73.95
PSUBNKIETF,140509.91,332602,136.71
PTC,787213.0,3053697,287.91
PTL,111179.27,46833,-57.88
PVRINOX,233620.27,79137,-66.13
PVSL,37406.0,15877,-57.55
PVTBANIETF,1235423.73,213388,-82.73
PVTBANKADD,25835.45,5691,-77.97
QGOLDHALF,74681.18,8041,-89.23
QNIFTY,344.0,68,-80.23
QPOWER,627190.45,232190,-62.98
RADIOCITY,47691.0,100866,111.5
RAIN,446801.27,1581441,253.95
RAINBOW,119828.09,325311,171.48
RAJRATAN,36105.36,14664,-59.39
RAMCOCEM,319974.36,138601,-56.68
RAMKY,61901.36,92918,50.11
RATEGAIN,182855.18,75807,-58.54
RBA,462407.55,229194,-50.43
RCF,333643.18,926248,177.62
REDTAPE,286222.55,1624297,467.49
RELAXO,119490.18,56050,-53.09
RELCHEMQ,11917.64,4690,-60.65
REPCOHOME,136743.64,39955,-70.78
REPL,6204.09,15955,157.17
RGL,61163.55,25127,-58.92
RHL,7433.45,2721,-63.4
RISHABH,22719.82,6982,-69.27
RKEC,26772.09,76073,184.15
RKFORGE,307917.36,136664,-55.62
RKSWAMY,16377.18,34677,111.74
ROHLTD,83868.55,35631,-57.52
ROSSELLIND,22208.64,64472,190.3
ROUTE,71840.91,32586,-54.64
RPEL,46127.18,20824,-54.86
RPGLIFE,15205.55,3997,-73.71
RPPINFRA,66494.73,27968,-57.94
RPSGVENT,19098.36,101710,432.56
RSWM,21407.27,34847,62.78
RUPA,177471.91,83425,-52.99
RUSTOMJEE,35692.64,14479,-59.43
SADBHAV,297064.91,119523,-59.77
